Fecha,AAPL,MSFT,NVDA,AVGO,GOOGL,AMZN,PANW,LLY,JNJ,UNH,JPM,BRK/B,V,XOM,NEE,ETN,PG,WMT,KO,LMT,SPX
2021-04-30,131.46,252.18,15.0095,45.62,117.675,173.371,58.898,182.77,162.73,398.8,153.81,274.95,233.56,57.24,77.51,142.93,133.42,46.6367,53.98,380.56,4181.17
2021-05-31,124.61,249.68,16.2445,47.233,117.843,161.154,60.542,199.74,169.25,411.92,164.24,289.44,227.3,58.37,73.22,145.25,134.85,47.3433,55.29,382.2,4204.11
2021-06-30,136.96,270.9,20.0025,47.684,122.09,172.008,61.842,229.52,164.74,400.44,155.54,277.92,233.82,63.08,73.28,148.18,134.93,47.0067,54.11,378.35,4297.5
2021-07-30,145.86,284.91,19.499,48.54,134.727,166.38,66.508,243.5,172.2,412.22,151.78,278.29,246.39,57.57,77.9,158.05,142.23,47.5167,57.03,371.67,4395.26
2021-08-31,151.83,301.88,22.385,49.721,144.698,173.54,76.84,258.29,173.13,416.27,159.95,285.77,229.1,54.52,83.99,168.36,142.39,49.3667,56.31,359.8,4522.68
2021-09-30,141.5,281.92,20.716,48.493,133.676,164.252,79.833,231.05,161.5,390.74,163.69,272.94,222.75,58.82,78.52,149.31,139.8,46.46,52.47,345.1,4307.54
2021-10-29,149.8,331.62,25.567,53.167,148.046,168.622,84.848,254.76,162.88,460.47,169.89,287.01,211.77,64.47,85.33,164.76,142.99,49.8067,56.37,332.32,4605.38
2021-11-30,165.3,330.59,32.676,55.368,141.897,175.354,91.157,248.04,155.93,444.22,158.83,276.69,193.77,59.84,86.78,162.06,144.58,46.8767,52.45,333.32,4567.0
2021-12-31,177.57,336.32,29.411,66.541,144.852,166.717,92.793,276.22,171.07,502.14,158.35,299.0,216.71,61.19,93.36,172.82,163.58,48.23,59.21,355.41,4766.18
2022-01-31,174.78,310.98,24.486,58.588,135.304,149.574,86.233,245.39,172.29,472.57,148.6,313.02,226.17,75.96,78.12,158.43,160.45,46.6033,61.01,389.13,4515.55
2022-02-28,165.12,298.79,24.385,58.744,135.057,153.563,99.042,249.95,164.57,475.87,141.8,321.45,216.12,78.42,78.27,154.29,155.89,45.0533,62.24,433.8,4373.94
2022-03-31,174.61,308.31,27.286,62.968,139.068,162.998,103.752,286.37,177.23,509.97,136.32,352.91,221.77,82.59,84.71,151.76,152.8,49.64,62.0,441.4,4530.41
2022-04-29,157.65,277.52,18.547,55.439,114.11,124.282,93.547,292.13,180.46,508.55,119.36,322.83,213.13,85.25,71.02,145.02,160.55,50.9967,64.61,432.12,4131.93
2022-05-31,148.84,271.87,18.672,58.013,113.762,120.21,83.797,313.44,179.53,496.78,132.23,315.98,212.17,96.0,75.69,138.6,147.88,42.8767,63.38,440.11,4132.15
2022-06-30,136.72,256.83,15.159,48.581,108.963,106.21,82.323,324.23,177.51,513.63,112.61,273.02,196.89,85.64,77.46,125.99,143.79,40.5267,62.91,429.96,3785.38
2022-07-29,162.51,280.74,18.163,53.548,116.32,134.95,83.183,329.69,174.52,542.34,115.36,300.6,212.11,96.93,84.49,148.39,138.91,44.0167,64.17,413.81,4130.29
